transaction_id,date,raw_text,clean_keyword,category,subcategory,label,amount,type,noise_type
TXN6239456327,2025-06-16,456 ONLINE INV8203,online,Shopping,E-Commerce,Shopping > E-Commerce,49.17,debit,clean_template
TXN4999305036,2025-07-25,INTL BUS ML FEE59,bus,Transportation,Public Transit,Transportation > Public Transit,22.15,debit,clean_template
TXN1715167878,2025-02-06,Gig 2025-04-29,gig,Income,Freelance,Income > Freelance,1827.86,credit,clean_template
TXN4191379631,2025-11-02,ONLIN EPAYMENT WALMART 3807721,walmart,Food & Dining,Groceries,Food & Dining > Groceries,55.8,debit,typo_light
TXN7631521265,2025-01-25,fL5 BILL STORE 524,bill,Bills & Utilities,Water,Bills & Utilities > Water,82.32,debit,clean_template
TXN8342029365,2024-11-25,660 COSTA INV2684,costa,Food & Dining,Coffee Shops,Food & Dining > Coffee Shops,6.44,debit,clean_template
TXN9874495952,2025-08-05,BI4 UTILITY STORE 797,utility,Bills & Utilities,Water,Bills & Utilities > Water,94.34,debit,clean_template
TXN0995564166,2024-12-23,ONLINE PAYMENT MOnBILE 6169571,mobile,Bills & Utilities,Phone,Bills & Utilities > Phone,63.42,debit,typo_light
TXN7124623413,2025-06-08,650 AMAZON INV2040,amazon,Shopping,E-Commerce,Shopping > E-Commerce,255.15,debit,clean_template
TXN4267436310,2025-06-18,MOBILE SOLA3R APP 227,solar,Bills & Utilities,Electricity,Bills & Utilities > Electricity,295.77,debit,typo_light
TXN7914027924,2025-05-14,EBAY * 64mK54,ebay,Shopping,E-Commerce,Shopping > E-Commerce,225.44,debit,clean_template
TXN8565536689,2025-06-09,542 WAGES INV4933,wages,Income,Salary,Income > Salary,6172.7,credit,clean_template
TXN3822800336,2025-01-29,WALMART * 52Tx02,walmart,Food & Dining,Groceries,Food & Dining > Groceries,38.55,debit,clean_template
TXN0594154847,2025-02-20,TAXI * 29Yt31,taxi,Transportation,Rideshare,Transportation > Rideshare,59.91,debit,clean_template
TXN8618095609,2025-11-02,AUTH POS PURCHASE ROBINHOOD MARTINMOUTH ID:996,robinhood,Income,Investments,Income > Investments,151.06,credit,heavy_template
TXN9700326600,2025-07-21,Yu8 POWER STORE 592,power,Bills & Utilities,Electricity,Bills & Utilities > Electricity,254.46,debit,clean_template
TXN4079010220,2025-05-06,CHK RECURRING UTILITY MAY ID:286,utility,Bills & Utilities,Electricity,Bills & Utilities > Electricity,294.9,debit,heavy_template
TXN6146877003,2024-12-22,CHECKCARD 2025-04-24 DIVIDEND,dividend,Income,Investments,Income > Investments,375.87,credit,clean_template
TXN3390224333,2025-03-09,CAB 11/13 AUTH846,cab,Transportation,Rideshare,Transportation > Rideshare,60.53,debit,clean_template
TXN2887642399,2025-08-16,946 SUBWAY INV8360,subway,Food & Dining,Fast Food,Food & Dining > Fast Food,24.16,debit,clean_template
TXN8156508527,2025-03-04,PAYPAL *TECH 621,tech,Shopping,Electronics,Shopping > Electronics,1246.5,debit,clean_template
TXN0711522702,2025-01-18,CHECKCARD 2025-10-18 VENMO,venmo,Income,Transfers,Income > Transfers,1053.09,credit,clean_template
TXN6798965892,2025-01-12,PENDING CONTACTLESS ARBYS CHIP966,arbys,Food & Dining,Fast Food,Food & Dining > Fast Food,14.02,debit,heavy_template
TXN5437612482,2025-06-01,314 VERIZON INV2658,verizon,Bills & Utilities,Phone,Bills & Utilities > Phone,48.16,debit,clean_template
TXN9522249154,2025-04-24,MOBILE BUS A2PP 699,bus,Transportation,Public Transit,Transportation > Public Transit,12.57,debit,typo_light
TXN9488175889,2024-12-26,DOMINOS * 45Ej06,dominos,Food & Dining,Restaurants,Food & Dining > Restaurants,79.43,debit,clean_template
TXN6845737045,2025-09-06,CONTRACT 11/03 AUTH645,contract,Income,Freelance,Income > Freelance,1861.65,credit,clean_template
TXN0315139866,2025-09-20,CONTACTLESS RAIL CHIP058,rail,Transportation,Public Transit,Transportation > Public Transit,21.58,debit,clean_template
TXN5591104309,2025-11-01,PENDING Best buy 2025-01-21 ID:980,best buy,Shopping,Electronics,Shopping > Electronics,945.51,debit,heavy_template
TXN4946099857,2025-09-09,ML1 FIDELITY TSORE 538,fidelity,Income,Investments,Income > Investments,453.68,credit,typo_light
TXN1136943748,2025-09-13,ONINE * 52Lg95,online,Shopping,E-Commerce,Shopping > E-Commerce,94.03,debit,typo_light
TXN5875949192,2025-07-20,CHECKCARD 2025-08-15 TACO BELL,taco bell,Food & Dining,Fast Food,Food & Dining > Fast Food,19.67,debit,clean_template
TXN2382251967,2025-01-08,CHECKCARD 2025-03-17 GAS STATION,gas station,Transportation,Fuel,Transportation > Fuel,36.92,debit,clean_template
TXN1732809129,2025-10-28,fa4 MICRO CENTER STORE 703,micro center,Shopping,Electronics,Shopping > Electronics,1807.1,debit,clean_template
TXN0590733256,2025-04-29,POS bPURCHASE ENERGY WEST PATRICKTOWN,energy,Bills & Utilities,Electricity,Bills & Utilities > Electricity,244.07,debit,typo_light
TXN9664368770,2025-08-27,ONLINE PAYMENT AT&T 6585345,at&t,Bills & Utilities,Phone,Bills & Utilities > Phone,111.81,debit,clean_template
TXN3002406749,2024-12-30,BIL L* 48an89,bill,Bills & Utilities,Water,Bills & Utilities > Water,49.2,debit,typo_light
TXN2417094811,2025-03-10,AUTH AQUA * 68YA12 REF:VD85,aqua,Bills & Utilities,Water,Bills & Utilities > Water,78.96,debit,heavy_template
TXN8282440479,2024-11-30,WATER * 62wx38,water,Bills & Utilities,Water,Bills & Utilities > Water,31.13,debit,clean_template
TXN0511614881,2025-01-11,MOBILE UNIQLO APP 734,uniqlo,Shopping,Clothing,Shopping > Clothing,48.39,debit,clean_template
TXN6596705792,2025-02-13,CHECKCARD 2025-10-01 OLA,ola,Transportation,Rideshare,Transportation > Rideshare,29.18,debit,clean_template
TXN6917420944,2025-08-09,VERIZON * 41DQ11,verizon,Bills & Utilities,Phone,Bills & Utilities > Phone,49.51,debit,clean_template
TXN1534426988,2025-06-21,POS ASLARY 11/16 AUTH29,salary,Income,Salary,Income > Salary,7918.04,credit,heavy_noise
TXN4755222830,2025-08-03,PENDING RECURRING JCPENNEY OCTOBER REF:jQ73,jcpenney,Shopping,Department Stores,Shopping > Department Stores,267.32,debit,heavy_template
TXN3574720646,2025-01-04,Xer 004 CELL INV623,cell,Bills & Utilities,Phone,Bills & Utilities > Phone,126.31,debit,heavy_noise
TXN3849275824,2024-11-22,Adidas 202-07-05,adidas,Shopping,Clothing,Shopping > Clothing,105.45,debit,typo_light
TXN2876744337,2025-02-24,RAIL ND 22078,rail,Transportation,Public Transit,Transportation > Public Transit,24.08,debit,clean_template
TXN9283799213,2025-01-01,AMTRAK * 76yF70,amtrak,Transportation,Public Transit,Transportation > Public Transit,15.8,debit,clean_template
TXN2452501399,2025-08-12,PENDING KROGER TN 91232 PENDING,kroger,Food & Dining,Groceries,Food & Dining > Groceries,215.75,debit,heavy_template
TXN9207550625,2025-10-15,KROGER * 04OH79,kroger,Food & Dining,Groceries,Food & Dining > Groceries,124.4,debit,clean_template
TXN5534520580,2025-01-15,CHECKCARD 2025-09-30 FREELANCE,freelance,Income,Freelance,Income > Freelance,2184.92,credit,clean_template
TXN3077038591,2025-10-10,MOBILE CONEDISON APP 080,conedison,Bills & Utilities,Electricity,Bills & Utilities > Electricity,95.87,debit,clean_template
TXN1010402116,2025-08-10,RECURRING DUNKIN MARCH,dunkin,Food & Dining,Coffee Shops,Food & Dining > Coffee Shops,9.4,debit,clean_template
TXN0647308891,2025-05-01,PAYROLL CO 27433,payroll,Income,Salary,Income > Salary,6529.09,credit,clean_template
TXN8851167626,2025-08-14,MAZN 11/03 AUTH865,amzn,Shopping,E-Commerce,Shopping > E-Commerce,233.34,debit,typo_light
TXN0835207200,2025-07-18,TESCO 11/06 AUTH369,tesco,Food & Dining,Groceries,Food & Dining > Groceries,145.54,debit,clean_template
TXN4219820268,2025-03-22,PAYPAL *APPRAEL 570,apparel,Shopping,Clothing,Shopping > Clothing,72.56,debit,typo_light
TXN8061402906,2025-02-27,CHK MOBILE COMCAST APP 543,comcast,Bills & Utilities,Internet,Bills & Utilities > Internet,70.8,debit,heavy_template
TXN1207622287,2025-07-16,AUTH MOBILE TAXI APP 211 REF:JH15,taxi,Transportation,Rideshare,Transportation > Rideshare,30.69,debit,heavy_template
TXN5065711807,2025-04-01,TARGET 11/15 AUTH547,target,Shopping,Department Stores,Shopping > Department Stores,269.84,debit,clean_template
TXN5293223252,2025-10-14,CONEDISON MO 11307,conedison,Bills & Utilities,Electricity,Bills & Utilities > Electricity,281.9,debit,clean_template
TXN5972251586,2024-12-04,9114 POS PURCHASE CAB ZACHARYSTAD REF:Ig30,cab,Transportation,Rideshare,Transportation > Rideshare,37.15,debit,heavy_template
TXN2950500414,2025-08-03,CONTACTLESS BILL CHIP395,bill,Bills & Utilities,Water,Bills & Utilities > Water,96.32,debit,clean_template
TXN9923772682,2024-11-26,JCPENNEY 11/20 AUTH034,jcpenney,Shopping,Department Stores,Shopping > Department Stores,302.49,debit,clean_template
TXN1968538629,2025-04-22,VALET * 73sA85,valet,Transportation,Parking,Transportation > Parking,12.87,debit,clean_template
TXN0654887502,2025-09-29,AUTH ONLINE PAYMENT JCPENNEY 7898256 ID:088,jcpenney,Shopping,Department Stores,Shopping > Department Stores,152.38,debit,heavy_template
TXN0120188705,2025-01-11,AQUA NC 38648,aqua,Bills & Utilities,Water,Bills & Utilities > Water,52.74,debit,clean_template
TXN1890654539,2025-05-16,DEPmOSIT AL 78288,deposit,Income,Transfers,Income > Transfers,1513.33,credit,typo_light
TXN7006783485,2025-06-29,POSr DR0 BrURGER KING STORE 776 SECURE,burger king,Food & Dining,Restaurants,Food & Dining > Restaurants,23.08,debit,heavy_noise
TXN9437318598,2025-08-31,INTL DIVIDEND HU FEE95,dividend,Income,Investments,Income > Investments,468.57,credit,clean_template
TXN9774317245,2024-11-30,ONLINE PAYMENT MICRO CENTER 2345925,micro center,Shopping,Electronics,Shopping > Electronics,695.31,debit,clean_template
TXN8671700745,2025-08-28,PENDING UTILITY 11/04 AUTH664,utility,Bills & Utilities,Water,Bills & Utilities > Water,89.19,debit,heavy_template
TXN6687143300,2025-04-18,PAYPAL *WATER 226,water,Bills & Utilities,Water,Bills & Utilities > Water,38.66,debit,clean_template
TXN6007754969,2024-12-28,rc7 GIG STORE 850,gig,Income,Freelance,Income > Freelance,752.64,credit,clean_template
TXN7375556951,2025-07-29,MOBILE BUS APP 732,bus,Transportation,Public Transit,Transportation > Public Transit,24.04,debit,clean_template
TXN1732870565,2025-06-19,RECURRING BURGER KING NOVEMBER,burger king,Food & Dining,Restaurants,Food & Dining > Restaurants,50.14,debit,clean_template
TXN8794019902,2025-02-22,Xfer Paychek 2025-0-328 CONFIRMED,paycheck,Income,Salary,Income > Salary,5484.46,credit,heavy_noise
TXN7664560649,2025-03-09,Computer 2025-02-03,computer,Shopping,Electronics,Shopping > Electronics,1316.28,debit,clean_template
TXN5421391229,2025-01-07,INTL MCDONALDS ESF EE07,mcdonalds,Food & Dining,Restaurants,Food & Dining > Restaurants,23.1,debit,typo_light
TXN3467454774,2025-02-06,POS PURCHASE EMPLOYER LAKE KATHLEENTOWN,employer,Income,Salary,Income > Salary,4998.12,credit,clean_template
TXN0025169117,2025-02-23,MOBILE FIDELITY APP 502 ID:666,fidelity,Income,Investments,Income > Investments,382.23,credit,heavy_template
TXN3784808339,2025-05-15,GAS  99LK58 5195Qw,gas,Transportation,Fuel,Transportation > Fuel,34.11,debit,heavy_noise
TXN2753240048,2025-07-03,ONLINE PAYMEN3T UBER 0771371,uber,Transportation,Rideshare,Transportation > Rideshare,26.34,debit,typo_light
TXN5419076132,2025-05-15,FUE 11/05 AUTH134,fuel,Transportation,Fuel,Transportation > Fuel,45.88,debit,typo_light
TXN4658119060,2025-04-16,VALETb 11/16 AUTH714,valet,Transportation,Parking,Transportation > Parking,11.65,debit,typo_light
TXN0521925344,2025-09-20,242 AMZN INV4759,amzn,Shopping,E-Commerce,Shopping > E-Commerce,167.34,debit,clean_template
TXN6296144555,2025-02-08,MOBILE MCDONALDS APP 482,mcdonalds,Food & Dining,Restaurants,Food & Dining > Restaurants,53.18,debit,clean_template
TXN4286660375,2025-01-13,MOBILE UBER APP 639,uber,Transportation,Rideshare,Transportation > Rideshare,31.55,debit,clean_template
TXN2536861203,2025-05-23,AUTH PIZZA ID:955,pizza,Food & Dining,Restaurants,Food & Dining > Restaurants,31.64,debit,heavy_template
TXN4355518930,2024-12-23,5533 285 TRADER JOES INV7671 PENDING,trader joes,Food & Dining,Groceries,Food & Dining > Groceries,146.22,debit,heavy_template
TXN8300462788,2025-09-09,INTL FASHION M2U FEE39,fashion,Shopping,Clothing,Shopping > Clothing,164.49,debit,typo_light
TXN3884438622,2025-10-24,POS PURCHASE KROGER MARGARETBURGH,kroger,Food & Dining,Groceries,Food & Dining > Groceries,97.1,debit,clean_template
TXN2131758160,2024-12-28,POS MOBILE COTCOn APP 920,costco,Food & Dining,Groceries,Food & Dining > Groceries,215.06,debit,heavy_noise
TXN3321143030,2025-10-01,CONTACTLESS VERIZON CHIP075 REF:tV05,verizon,Bills & Utilities,Internet,Bills & Utilities > Internet,78.96,debit,heavy_template
TXN6841163420,2025-02-23,CHECKCARD 2025-11-03 AT&T,at&t,Bills & Utilities,Internet,Bills & Utilities > Internet,112.8,debit,clean_template
TXN8055964982,2025-01-14,AUTH ONLINE PAYMENT VERIZON 6708088 ID:259,verizon,Bills & Utilities,Internet,Bills & Utilities > Internet,48.15,debit,heavy_template
TXN5778316314,2025-11-19,PAYPAL *ZARA 061,zara,Shopping,Clothing,Shopping > Clothing,191.66,debit,clean_template
TXN5541317103,2025-06-27,8972 ONLINE PAYMENT MCDONALDS 3587486 ID:502,mcdonalds,Food & Dining,Restaurants,Food & Dining > Restaurants,90.63,debit,heavy_template
TXN3948698918,2025-01-03,ONLINE PAYMENT INVESTMENT 9487098,investment,Income,Investments,Income > Investments,406.91,credit,clean_template
TXN1561136979,2025-06-22,uo9 GARAGE STORE 888,garage,Transportation,Parking,Transportation > Parking,41.96,debit,clean_template
TXN5416768795,2024-12-04,PAYPAL *SUBWAY 973,subway,Food & Dining,Fast Food,Food & Dining > Fast Food,10.93,debit,clean_template
TXN3586836719,2025-07-06,Macys 2025-04-21,macys,Shopping,Department Stores,Shopping > Department Stores,70.92,debit,clean_template
TXN1088890717,2025-05-17,PENDING TARGET,target,Shopping,Department Stores,Shopping > Department Stores,48.98,debit,heavy_template
TXN5864817754,2025-10-15,CONTACTLESS TARGET CHIP876,target,Shopping,Department Stores,Shopping > Department Stores,252.83,debit,clean_template
TXN0515687307,2025-08-07,RAIL LA 81097,rail,Transportation,Public Transit,Transportation > Public Transit,4.1,debit,clean_template
TXN8088496972,2025-11-05,BURGER KING 11/07 AUTH490,burger king,Food & Dining,Restaurants,Food & Dining > Restaurants,30.79,debit,clean_template
TXN5694062136,2025-05-22,INTL AT&T MZ FEE90,at&t,Bills & Utilities,Internet,Bills & Utilities > Internet,96.93,debit,clean_template
TXN9488965247,2025-07-13,CHECKCARD 2025-01-07 AMZN,amzn,Shopping,E-Commerce,Shopping > E-Commerce,20.93,debit,clean_template
TXN4991666446,2025-06-15,Cash app 2025-10-09,cash app,Income,Transfers,Income > Transfers,941.18,credit,clean_template
TXN1490686083,2025-10-23,ACH JCPExNNE YAR 37521 SECURE,jcpenney,Shopping,Department Stores,Shopping > Department Stores,249.35,debit,heavy_noise
TXN6547815815,2025-04-24,MOBILE KOHLS APP 4a79 CONFIRMED,kohls,Shopping,Department Stores,Shopping > Department Stores,253.55,debit,heavy_noise
TXN3198220070,2025-04-24,sb3 ARBYS STOfRE 638,arbys,Food & Dining,Fast Food,Food & Dining > Fast Food,18.76,debit,typo_light
TXN8390507856,2025-08-02,INTL INTEREST NO FEE79,interest,Income,Investments,Income > Investments,351.98,credit,clean_template
TXN3704004410,2025-04-04,2312 KFC,kfc,Food & Dining,Fast Food,Food & Dining > Fast Food,14.0,debit,heavy_template
TXN7318690288,2024-11-30,Aldi 2025-08-08,aldi,Food & Dining,Groceries,Food & Dining > Groceries,130.69,debit,clean_template
TXN2623031300,2024-12-19,365 TRANSFER FROM INV7379 REF:KT95,transfer from,Income,Transfers,Income > Transfers,1348.8,credit,heavy_template
TXN2319337316,2025-06-06,ACHPAYPAL *TACO BELL 12 SECURE,taco bell,Food & Dining,Fast Food,Food & Dining > Fast Food,15.65,debit,heavy_noise
TXN9186839174,2024-12-23,CHECKCARD2025-01-23 WATER,water,Bills & Utilities,Water,Bills & Utilities > Water,49.95,debit,typo_light
TXN4483740338,2025-02-09,POS PURCHASE DIRECT DEPOSIT NEW ELIZABETH,direct deposit,Income,Salary,Income > Salary,8630.86,credit,clean_template
TXN8508880357,2025-06-15,CHK PAYROLL AL 98818,payroll,Income,Salary,Income > Salary,3064.86,credit,heavy_template
TXN6851394554,2025-02-15,GRAB * 40fe63,grab,Transportation,Rideshare,Transportation > Rideshare,47.44,debit,heavy_template
TXN3234284575,2025-11-12,INTL MTA BD FEE45,mta,Transportation,Public Transit,Transportation > Public Transit,21.13,debit,clean_template
TXN9251613249,2025-09-21,CONTACTLESS COMCAST CHIP1985,comcast,Bills & Utilities,Internet,Bills & Utilities > Internet,74.93,debit,typo_light
TXN3047291847,2025-08-06,TFR INTL TARGET T FE1E88,target,Shopping,Department Stores,Shopping > Department Stores,74.09,debit,heavy_noise
TXN4192958733,2025-02-20,INTL WALMART NG FEE91,walmart,Food & Dining,Groceries,Food & Dining > Groceries,158.67,debit,clean_template
TXN3518777864,2025-04-10,BURGER KING,burger king,Food & Dining,Restaurants,Food & Dining > Restaurants,16.22,debit,heavy_template
TXN7064138912,2025-10-24,BURGER KING,burger king,Food & Dining,Restaurants,Food & Dining > Restaurants,25.82,debit,clean_template
TXN7449034558,2025-02-28,PSOR ECURRING TACO BELL JUNE 696fy,taco bell,Food & Dining,Fast Food,Food & Dining > Fast Food,13.09,debit,heavy_noise
TXN8430660403,2025-07-08,CHIPOTLE * 67eW81,chipotle,Food & Dining,Restaurants,Food & Dining > Restaurants,30.87,debit,clean_template
TXN0251167583,2025-08-16,CASH APP * 00vk75,cash app,Income,Transfers,Income > Transfers,346.89,credit,clean_template
TXN4293609726,2025-08-12,INTL XFINITY FJ FEE73,xfinity,Bills & Utilities,Internet,Bills & Utilities > Internet,56.46,debit,clean_template
TXN3520524554,2025-07-17,RECURRING ARBYS MARCH ID:135,arbys,Food & Dining,Fast Food,Food & Dining > Fast Food,24.85,debit,heavy_template
TXN1645958085,2025-10-02,KOHLS IA 38385,kohls,Shopping,Department Stores,Shopping > Department Stores,121.97,debit,clean_template
TXN7981567163,2025-02-24,CONTACTLESS MACYS CHIP260,macys,Shopping,Department Stores,Shopping > Department Stores,319.73,debit,clean_template
TXN8903747485,2025-02-04,AUTH ONLINE PAYMENT SHOPIFY 9493578,shopify,Shopping,E-Commerce,Shopping > E-Commerce,249.21,debit,heavy_template
TXN7335557335,2024-12-07,POS PURCHASE ESPRESSO MARKBURGH,espresso,Food & Dining,Coffee Shops,Food & Dining > Coffee Shops,11.21,debit,clean_template
TXN0886399522,2025-04-06,GRAB 11/08 AUTH907,grab,Transportation,Rideshare,Transportation > Rideshare,38.16,debit,clean_template
TXN5382558478,2025-05-23,SPECTRUM ID:026,spectrum,Bills & Utilities,Internet,Bills & Utilities > Internet,113.81,debit,heavy_template
TXN1809262322,2025-11-18,CHK UPWORK * 90Cu96 REF:JA84,upwork,Income,Freelance,Income > Freelance,1038.09,credit,heavy_template
TXN5954987445,2025-05-10,zi1 SPRINT STORE 929,sprint,Bills & Utilities,Phone,Bills & Utilities > Phone,69.36,debit,clean_template
TXN3371838533,2025-02-13,Xfer RECURRING INTERES TNOVEMBER CONFIRM0ED,interest,Income,Investments,Income > Investments,432.31,credit,heavy_noise
TXN8916083142,2024-12-12,CHK PAYPAL *MOBIL 308 PENDING,mobil,Transportation,Fuel,Transportation > Fuel,66.85,debit,heavy_template
TXN4321549092,2025-07-06,Xfer HCECKCARD 2025-04-12P OWER 902up,power,Bills & Utilities,Electricity,Bills & Utilities > Electricity,95.33,debit,heavy_noise
TXN3824757743,2025-09-11,gX7 UTILITY STORE 552,utility,Bills & Utilities,Water,Bills & Utilities > Water,66.9,debit,clean_template
TXN9899184113,2025-10-25,CHK UPWORK AZ 05943 ID:135,upwork,Income,Freelance,Income > Freelance,2454.97,credit,heavy_template
TXN9574474556,2025-02-17,MOBILE ELECTRIC APP 189,electric,Bills & Utilities,Electricity,Bills & Utilities > Electricity,168.36,debit,clean_template
TXN6702087789,2025-10-27,INTL COFFEE PL FEE43,coffee,Food & Dining,Coffee Shops,Food & Dining > Coffee Shops,4.96,debit,clean_template
TXN5369374136,2025-05-11,RECURRING SEARS JANUARY PENDING,sears,Shopping,Department Stores,Shopping > Department Stores,258.74,debit,heavy_template
TXN3699456698,2024-12-08,PAYPAL *MOBIL 037,mobil,Transportation,Fuel,Transportation > Fuel,75.37,debit,clean_template
TXN1969050544,2025-07-15,RECURRNG FASHION SEPTEMBER,fashion,Shopping,Clothing,Shopping > Clothing,118.72,debit,typo_light
TXN6123443773,2025-10-10,CHECKCARD 2025-10-14 ESPRESSO,espresso,Food & Dining,Coffee Shops,Food & Dining > Coffee Shops,9.02,debit,clean_template
TXN9973013117,2025-05-26,PENDING RAIL,rail,Transportation,Public Transit,Transportation > Public Transit,18.02,debit,heavy_template
